Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Civil,3,Female,24,B.Sc,8.9,35,55,0.8,74,8.2,83.8,49.9,On Track
Information Technology,7,Male,18,B.Sc,7.1,37,95,2.9,60,9.8,76.2,84.3,On Track
Civil,4,Female,20,MBA,9.1,31,73,5.6,43,3.6,78.0,71.5,On Track
Information Technology,2,Female,19,BCA,5.6,21,76,3.9,96,3.5,97.3,70.7,On Track
Civil,4,Non-binary,21,BCA,6.8,26,80,2.3,63,5.5,71.8,76.0,On Track
Information Technology,6,Non-binary,25,MCA,7.7,40,84,1.2,40,6.3,55.7,71.1,On Track
Mechanical,5,Female,25,B.Sc,7.3,41,94,1.3,55,6.3,70.0,84.5,On Track
Information Technology,3,Male,18,MCA,6.2,22,57,2.2,51,4.7,62.5,48.4,At Risk
Electronics,1,Female,22,B.Sc,5.7,21,77,1.6,65,6.1,66.1,74.3,On Track
Electronics,6,Non-binary,25,MBA,5.3,35,55,4.4,42,4.9,62.4,48.3,At Risk
Electronics,7,Non-binary,24,B.Sc,7.6,37,76,4.4,63,6.5,79.2,68.6,On Track
Information Technology,4,Female,24,BCA,4.9,34,81,1.1,70,9.5,65.3,67.5,On Track
Business Analytics,8,Non-binary,21,BCA,5.2,47,88,5.7,79,9.4,86.0,83.8,On Track
Civil,6,Female,23,BCA,8.6,40,72,0.8,38,6.0,57.9,64.3,At Risk
Computer Science,6,Male,17,BCA,5.1,34,93,5.8,55,8.2,76.7,80.6,On Track
Business Analytics,4,Male,23,MBA,7.4,36,74,4.0,95,8.1,97.7,66.4,On Track
Mechanical,8,Female,20,MCA,8.3,49,98,1.8,75,3.5,89.4,85.0,On Track
Mechanical,6,Female,21,MBA,5.2,42,66,5.1,87,4.7,84.2,57.2,On Track
Information Technology,7,Non-binary,19,B.Sc,8.7,49,96,5.9,87,5.8,98.0,83.6,On Track
Computer Science,7,Female,23,B.Tech,8.5,51,77,1.7,43,8.3,71.8,64.7,On Track
Business Analytics,2,Male,19,B.Sc,9.0,23,90,1.5,69,4.0,82.7,82.8,On Track
Information Technology,4,Female,18,MBA,7.8,25,51,1.0,77,9.3,80.7,50.5,On Track
Mechanical,2,Male,17,MBA,7.0,19,49,2.9,40,3.9,60.2,45.0,At Risk
Mechanical,6,Male,21,MBA,8.0,36,84,5.7,74,8.2,85.4,81.1,On Track
Information Technology,6,Male,17,B.Sc,7.5,40,76,5.2,84,9.6,88.6,74.4,On Track
Civil,1,Male,21,B.Sc,6.3,27,78,5.9,85,6.6,85.8,72.9,On Track
Civil,3,Non-binary,24,B.Tech,8.8,29,69,3.0,87,9.7,86.8,65.1,On Track
Mechanical,5,Female,23,MBA,5.9,29,93,1.3,84,9.0,88.5,85.4,On Track
Information Technology,8,Male,18,B.Sc,4.9,49,77,1.1,65,9.5,71.3,73.9,On Track
Civil,6,Female,18,B.Sc,8.2,32,92,2.8,45,4.5,63.5,83.3,On Track
Civil,2,Non-binary,23,B.Tech,7.9,30,55,4.7,68,4.2,83.2,55.0,On Track
Computer Science,6,Female,22,BCA,7.0,39,67,3.1,59,4.7,68.9,56.8,At Risk
Civil,7,Female,22,B.Tech,9.2,45,95,4.5,76,5.6,88.8,91.2,On Track
Computer Science,7,Male,18,B.Tech,8.3,42,72,5.0,63,8.3,89.9,70.0,On Track
Information Technology,7,Non-binary,23,BCA,8.8,45,92,1.7,41,7.8,67.1,88.3,On Track
Electronics,2,Male,25,MBA,5.2,31,55,1.5,54,8.9,58.0,48.7,At Risk
Information Technology,3,Male,18,MBA,5.6,31,96,1.8,74,5.9,72.1,82.7,On Track
Electronics,3,Female,20,MBA,8.8,26,56,3.6,57,5.9,77.5,51.1,On Track
Mechanical,7,Non-binary,18,B.Tech,8.6,45,66,4.6,81,10.0,92.7,63.3,On Track
Computer Science,2,Male,25,B.Tech,5.7,18,67,0.8,49,7.8,49.8,60.3,On Track
Mechanical,4,Male,23,BCA,8.1,24,84,4.9,95,7.1,98.0,78.2,On Track
Business Analytics,1,Male,22,BCA,7.9,12,81,5.3,60,4.8,85.4,70.8,On Track
Information Technology,2,Non-binary,24,MBA,8.1,18,74,1.4,53,7.9,73.1,62.6,On Track
Information Technology,4,Non-binary,22,BCA,6.8,25,84,2.5,80,9.2,77.7,69.8,On Track
Information Technology,4,Female,23,MCA,5.5,28,90,0.9,64,8.6,60.9,84.8,At Risk
Electronics,3,Non-binary,21,B.Sc,5.8,27,70,6.1,59,4.4,76.8,68.7,On Track
Electronics,5,Non-binary,18,BCA,6.8,39,51,3.4,83,5.9,83.5,45.0,On Track
Business Analytics,6,Non-binary,21,B.Sc,8.5,34,57,3.3,60,7.3,82.5,55.7,On Track
Electronics,6,Non-binary,19,MBA,4.9,42,72,6.1,72,9.2,82.3,68.8,On Track
Business Analytics,8,Non-binary,21,MBA,9.6,41,77,5.9,75,5.7,98.0,70.1,On Track
Electronics,1,Non-binary,21,BCA,8.8,21,57,4.1,46,10.0,76.6,53.4,On Track
Civil,6,Non-binary,24,BCA,7.0,47,70,4.5,72,8.9,80.7,65.1,On Track
Computer Science,1,Non-binary,23,BCA,7.7,24,61,3.2,82,9.2,86.3,50.1,On Track
Mechanical,2,Female,18,BCA,7.4,31,59,1.4,43,9.4,63.9,58.8,On Track
Business Analytics,4,Non-binary,22,BCA,6.2,26,72,0.8,55,9.0,62.7,60.6,On Track
Electronics,3,Non-binary,24,B.Tech,5.8,24,81,4.4,62,8.6,81.9,70.1,On Track
Computer Science,4,Male,22,B.Sc,7.2,28,82,2.9,70,8.0,74.8,73.0,On Track
Electronics,4,Female,17,B.Tech,5.6,37,54,3.9,68,8.7,67.3,52.0,On Track
Information Technology,6,Male,25,MBA,6.1,41,59,0.9,90,6.8,81.8,56.8,At Risk
Civil,4,Female,21,MBA,8.8,31,61,5.6,80,8.7,98.0,55.0,On Track
Information Technology,8,Female,18,B.Tech,8.6,47,73,4.6,46,6.9,68.1,63.1,On Track
Civil,8,Non-binary,21,MCA,7.0,53,67,2.9,93,7.3,83.0,56.8,On Track
Information Technology,5,Non-binary,20,MCA,5.1,35,80,2.5,53,4.4,58.5,69.6,At Risk
Business Analytics,8,Non-binary,22,MBA,7.2,41,65,6.1,49,7.1,75.3,53.7,On Track
Civil,5,Non-binary,21,BCA,9.6,41,85,1.1,46,7.9,74.5,76.7,On Track
Mechanical,6,Male,19,B.Tech,5.9,38,53,6.0,90,4.7,98.0,52.8,On Track
Business Analytics,3,Male,25,B.Tech,7.3,30,61,5.7,68,8.6,82.1,56.9,On Track
Information Technology,8,Female,23,MCA,6.0,48,49,3.9,63,7.4,64.9,49.2,At Risk
Electronics,6,Male,17,MCA,8.6,38,90,6.0,68,5.2,91.5,79.4,On Track
Computer Science,3,Male,20,B.Sc,8.5,23,97,4.1,63,9.1,90.6,85.4,On Track
Mechanical,7,Male,22,B.Tech,6.3,41,51,3.1,62,3.7,71.5,45.0,At Risk
Civil,8,Non-binary,21,MCA,7.7,48,59,4.4,82,6.5,81.0,58.8,On Track
Mechanical,6,Female,24,B.Tech,8.6,37,94,3.1,62,9.3,89.3,88.9,On Track
Computer Science,5,Male,24,BCA,6.0,30,64,5.5,72,5.7,73.5,59.5,On Track
Business Analytics,7,Male,17,B.Sc,9.1,38,61,2.3,84,8.4,81.8,59.9,On Track
Electronics,8,Female,21,B.Tech,7.7,53,83,6.4,85,9.6,98.0,75.2,On Track
Civil,7,Female,24,B.Tech,6.9,40,74,4.6,45,7.3,68.7,68.6,On Track
Civil,6,Female,24,B.Sc,5.1,38,86,2.1,87,6.5,84.4,77.6,On Track
Information Technology,2,Female,25,MCA,8.1,30,69,4.5,42,10.0,70.7,60.8,On Track
Business Analytics,1,Non-binary,21,MCA,9.5,19,90,3.7,71,8.3,86.6,86.7,On Track
Information Technology,7,Non-binary,23,B.Sc,8.8,44,66,1.3,49,9.0,64.3,63.9,On Track
Information Technology,6,Male,19,B.Sc,5.4,33,68,4.6,74,5.5,70.7,61.5,On Track
Information Technology,5,Male,24,MCA,5.9,36,52,5.2,85,8.8,77.9,47.3,On Track
Civil,1,Non-binary,18,B.Tech,7.1,26,94,4.1,51,9.3,68.0,84.6,On Track
Computer Science,8,Non-binary,23,MCA,9.1,54,68,5.7,62,5.0,86.8,65.8,On Track
Information Technology,1,Non-binary,19,B.Sc,7.1,14,70,3.1,87,4.3,82.1,68.9,On Track
Mechanical,8,Male,24,B.Tech,5.1,48,50,4.7,40,7.6,60.3,46.3,At Risk
Computer Science,8,Male,19,MCA,8.7,46,51,6.3,91,8.5,98.0,48.8,On Track
Mechanical,2,Female,21,MCA,4.9,31,87,4.9,78,9.9,76.7,79.6,On Track
Electronics,1,Male,25,BCA,6.6,16,68,4.5,56,5.3,73.2,56.3,At Risk
Electronics,5,Female,17,BCA,5.8,34,85,4.2,52,4.2,63.3,78.5,On Track
Computer Science,4,Female,22,B.Sc,8.4,25,58,6.3,62,5.9,79.6,50.3,On Track
Information Technology,8,Male,18,BCA,5.5,55,97,2.3,60,5.8,64.8,90.1,At Risk
Mechanical,7,Non-binary,21,MCA,9.2,39,69,5.0,86,9.9,98.0,56.7,On Track
Civil,5,Non-binary,25,B.Sc,5.1,37,48,1.2,41,8.1,55.8,45.0,At Risk
Computer Science,3,Male,19,B.Tech,9.5,26,60,4.6,65,4.4,78.0,50.8,On Track
Electronics,6,Female,18,MBA,5.8,44,88,0.6,74,3.7,72.1,81.2,At Risk
Electronics,8,Female,18,MCA,9.3,42,78,1.8,50,5.5,75.6,69.8,On Track
Business Analytics,8,Female,25,MBA,7.0,48,51,2.2,91,6.3,88.7,51.3,On Track
Mechanical,8,Female,20,B.Tech,7.3,56,53,2.4,55,5.4,60.0,46.5,At Risk
Electronics,2,Male,21,MBA,6.6,23,48,3.2,61,7.1,61.9,45.3,At Risk
Mechanical,7,Female,21,B.Tech,6.3,41,87,2.1,47,7.7,56.2,79.3,At Risk
Information Technology,2,Male,21,B.Sc,6.5,17,82,1.6,62,5.4,66.7,77.3,At Risk
Electronics,8,Male,20,B.Tech,6.7,52,74,4.1,85,8.6,82.0,72.1,On Track
Business Analytics,3,Female,21,MCA,5.2,32,57,3.8,70,9.1,68.8,51.1,On Track
Civil,7,Non-binary,21,B.Sc,9.0,52,56,2.9,91,4.0,92.9,49.2,On Track
Electronics,3,Non-binary,25,B.Sc,5.9,26,60,1.2,61,8.8,57.3,49.9,At Risk
Civil,5,Non-binary,22,BCA,5.2,29,95,5.3,45,7.3,73.7,83.9,On Track
Electronics,6,Male,20,MCA,7.3,44,53,6.2,90,6.0,98.0,46.9,On Track
Electronics,3,Female,24,B.Tech,5.6,30,92,2.5,65,6.5,71.8,80.7,At Risk
Computer Science,6,Non-binary,25,B.Sc,7.7,48,56,5.9,46,9.6,64.6,49.9,On Track
Business Analytics,8,Male,25,BCA,5.4,55,52,2.8,86,6.4,79.4,47.4,On Track
Mechanical,4,Non-binary,17,BCA,5.9,40,80,6.3,83,5.8,96.7,74.6,On Track
Electronics,6,Female,23,BCA,7.1,44,82,3.8,66,5.8,75.6,76.1,On Track
Civil,6,Non-binary,25,B.Tech,6.0,40,49,6.2,59,4.3,79.2,47.2,On Track
Computer Science,5,Non-binary,25,MBA,6.3,40,77,5.2,66,6.9,82.6,70.1,On Track
Mechanical,6,Female,18,MBA,8.4,47,78,6.5,51,4.4,76.9,71.3,On Track
Information Technology,1,Non-binary,18,MBA,7.7,20,72,4.1,52,3.8,65.0,63.3,On Track
Mechanical,8,Non-binary,19,MBA,9.2,53,51,5.5,87,7.2,98.0,48.8,On Track
Information Technology,7,Female,25,MCA,8.0,44,48,4.3,85,7.2,93.6,48.4,On Track
Civil,7,Non-binary,19,MBA,7.4,42,53,5.0,92,8.0,97.8,45.0,On Track
Information Technology,2,Female,25,MCA,8.2,26,87,0.8,94,6.9,91.9,79.8,On Track
Civil,3,Non-binary,25,MBA,6.3,26,88,5.3,57,9.2,75.0,84.4,On Track
Mechanical,4,Male,24,B.Sc,9.2,38,84,1.3,62,8.2,69.7,70.9,On Track
Civil,2,Male,20,MBA,6.3,18,77,3.9,58,8.5,78.7,69.2,On Track
Electronics,2,Non-binary,24,BCA,6.3,26,48,3.7,86,5.3,81.2,45.0,On Track
Business Analytics,4,Non-binary,21,B.Sc,9.2,26,97,2.4,62,6.8,84.2,93.3,On Track
Information Technology,4,Non-binary,24,BCA,6.0,40,56,2.4,44,3.8,62.9,48.4,At Risk
Civil,8,Female,21,BCA,5.8,48,94,4.1,72,6.2,81.1,80.4,On Track
Electronics,3,Male,24,MBA,8.9,32,87,0.9,62,4.2,78.2,73.8,On Track
Business Analytics,6,Male,19,MCA,7.3,40,98,1.3,72,4.4,78.5,85.1,On Track
Computer Science,8,Non-binary,19,B.Sc,8.3,44,88,2.6,74,8.6,90.9,79.8,On Track
Computer Science,7,Non-binary,23,B.Sc,7.3,44,87,1.6,95,9.5,98.0,75.3,On Track
Business Analytics,6,Male,21,B.Sc,6.2,33,85,1.1,76,4.4,74.0,76.7,On Track
Computer Science,8,Female,25,BCA,5.1,42,75,4.5,48,5.8,71.4,68.8,On Track
Mechanical,1,Male,25,MBA,6.1,21,70,0.6,69,9.8,71.9,65.4,On Track
Information Technology,7,Female,25,MCA,8.9,37,74,5.4,90,4.6,98.0,61.8,On Track
Electronics,1,Male,23,B.Sc,4.9,19,73,1.6,93,8.9,80.4,67.9,On Track
Mechanical,5,Male,22,B.Sc,7.3,28,62,4.7,89,9.4,93.1,60.4,On Track
Civil,8,Male,20,B.Sc,6.3,51,65,5.3,47,7.4,63.7,53.0,On Track
Electronics,7,Male,19,MBA,9.7,42,50,2.2,66,3.5,84.4,49.7,At Risk
Mechanical,4,Male,20,B.Sc,7.8,32,96,3.3,78,6.2,90.5,83.2,On Track
Mechanical,5,Male,21,MCA,7.8,43,97,3.9,58,6.8,86.6,88.7,On Track
Computer Science,4,Female,21,BCA,9.6,28,63,5.6,82,3.9,92.5,58.1,On Track
Electronics,5,Non-binary,18,B.Tech,5.2,29,61,1.9,71,8.0,66.4,60.7,On Track
Mechanical,7,Female,23,MCA,6.4,39,59,4.7,41,9.4,70.0,54.6,On Track
Mechanical,6,Male,24,MCA,8.2,34,71,3.2,61,3.9,84.3,60.3,At Risk
Mechanical,2,Female,17,B.Sc,9.0,31,71,3.8,39,6.8,62.2,58.3,On Track
Computer Science,6,Non-binary,24,MCA,5.1,48,59,1.9,50,5.2,54.4,54.0,At Risk
Electronics,5,Non-binary,21,MCA,5.4,35,86,2.8,59,3.7,64.4,77.4,At Risk
Electronics,7,Female,18,B.Sc,5.1,43,63,6.1,75,6.3,87.9,51.9,On Track
Information Technology,1,Male,24,MCA,5.6,14,68,1.8,60,8.9,67.0,65.6,On Track
Information Technology,8,Non-binary,20,MBA,7.9,55,61,4.8,55,8.3,71.2,53.6,On Track
Business Analytics,3,Female,20,B.Sc,9.1,28,56,1.1,58,8.4,62.8,45.0,On Track
Mechanical,2,Male,17,BCA,7.8,19,58,3.8,52,8.6,68.4,49.7,On Track
Civil,8,Female,17,MBA,6.1,40,76,5.5,64,7.2,77.8,63.7,On Track
Civil,3,Non-binary,25,B.Sc,6.8,34,97,3.7,89,6.8,93.1,85.5,On Track
Civil,1,Non-binary,19,MBA,9.1,21,82,3.0,68,5.1,90.9,74.8,On Track
Civil,4,Female,20,BCA,7.6,30,70,4.1,86,7.5,96.3,67.5,On Track
Computer Science,7,Non-binary,18,B.Tech,8.7,52,73,5.8,56,7.1,85.7,63.7,On Track
Electronics,8,Non-binary,23,B.Sc,4.8,44,60,4.2,39,7.8,61.3,56.2,At Risk
Business Analytics,5,Non-binary,18,MCA,8.9,39,57,4.9,96,3.9,98.0,54.2,On Track
Civil,7,Non-binary,20,BCA,9.6,51,61,2.6,59,9.3,72.1,57.1,On Track
Mechanical,1,Non-binary,19,B.Tech,7.1,18,67,1.0,59,9.8,64.2,62.2,On Track
Information Technology,7,Female,18,MCA,9.1,38,54,0.5,46,6.3,65.8,45.0,On Track
Business Analytics,2,Non-binary,25,B.Sc,9.6,32,67,1.0,48,9.5,72.8,62.7,On Track
Information Technology,1,Male,18,BCA,5.3,12,60,1.5,93,6.7,75.1,57.1,At Risk
Civil,3,Female,22,BCA,6.6,34,51,6.3,72,9.7,88.6,45.0,On Track
Information Technology,2,Male,18,BCA,8.3,23,75,5.2,86,9.3,94.8,62.4,On Track
Computer Science,8,Non-binary,21,B.Sc,6.8,55,87,5.9,96,6.3,98.0,73.7,On Track
Business Analytics,3,Female,23,MBA,9.5,31,97,5.9,65,8.7,94.1,89.2,On Track
Computer Science,7,Female,25,MCA,6.3,46,76,6.3,76,7.0,90.9,74.3,On Track
Electronics,3,Non-binary,19,BCA,6.1,26,68,4.2,51,4.3,70.9,64.6,At Risk
Computer Science,6,Male,24,MBA,7.4,45,58,1.3,40,9.1,64.1,52.5,On Track
Business Analytics,4,Female,17,MBA,6.3,27,64,0.9,83,8.9,79.7,56.8,On Track
Information Technology,6,Female,25,BCA,6.7,42,94,0.7,61,8.1,72.0,86.2,On Track
Electronics,2,Female,25,MCA,8.0,24,98,5.9,62,9.7,93.0,91.4,On Track
Information Technology,8,Non-binary,20,MBA,8.8,56,71,6.0,39,7.1,69.7,59.9,On Track
Civil,7,Male,20,B.Sc,7.9,45,87,4.6,96,7.0,98.0,83.7,On Track
Electronics,8,Female,19,MCA,6.7,47,98,2.0,49,7.7,61.8,86.3,At Risk
Mechanical,2,Male,25,MCA,5.5,22,52,1.3,69,7.1,60.7,50.5,At Risk
Computer Science,3,Male,23,B.Tech,5.2,26,70,5.3,74,6.1,85.0,63.5,On Track
Mechanical,2,Female,21,B.Sc,7.7,16,62,3.6,75,6.2,81.6,61.2,On Track
Information Technology,1,Non-binary,25,MBA,4.9,27,70,5.0,62,9.9,75.3,67.4,On Track
Information Technology,3,Non-binary,22,BCA,6.8,23,50,4.9,87,4.5,82.2,47.9,On Track
Civil,5,Non-binary,21,B.Sc,6.6,36,62,2.8,92,5.7,94.6,52.2,On Track
Mechanical,3,Male,19,B.Tech,8.8,20,82,3.6,63,4.6,83.9,73.5,On Track
Mechanical,3,Female,25,B.Sc,6.3,28,82,2.9,55,8.2,74.8,72.3,On Track
Civil,2,Male,18,BCA,9.0,19,94,1.3,57,5.9,69.1,85.2,On Track
Business Analytics,8,Non-binary,17,B.Tech,8.8,45,97,0.9,64,4.3,78.3,86.0,On Track
Civil,5,Male,21,B.Sc,8.2,43,94,5.8,70,5.3,90.1,89.9,On Track
Business Analytics,6,Female,24,MCA,6.9,48,59,2.7,58,7.0,60.5,56.3,On Track
Mechanical,2,Female,22,MBA,9.6,27,96,5.6,82,9.1,98.0,89.0,On Track
Information Technology,3,Non-binary,22,MBA,5.8,25,56,2.2,82,7.8,77.4,55.8,On Track
Business Analytics,8,Male,25,BCA,7.6,42,90,1.3,88,3.6,95.2,78.9,On Track
Electronics,6,Female,21,B.Sc,7.2,48,49,0.6,87,8.8,77.1,45.0,On Track
Electronics,1,Non-binary,25,MBA,7.6,13,64,4.3,49,4.8,75.3,54.7,On Track
Mechanical,7,Male,24,MCA,5.6,39,72,1.5,56,4.5,55.1,59.5,At Risk
Information Technology,5,Male,21,MBA,7.7,30,91,0.8,94,8.3,89.3,76.4,On Track
Mechanical,3,Male,19,B.Sc,6.5,24,61,0.7,90,5.8,87.3,57.6,On Track
Information Technology,4,Female,20,B.Sc,8.4,28,68,1.7,50,5.2,73.9,62.2,At Risk
Mechanical,8,Non-binary,22,B.Sc,5.8,45,64,1.2,42,8.9,53.2,60.3,At Risk
Electronics,8,Non-binary,22,B.Sc,6.5,49,73,5.1,84,7.5,92.7,61.8,On Track
Information Technology,4,Male,21,B.Tech,7.8,32,83,4.5,46,6.0,78.1,75.6,On Track
Electronics,2,Non-binary,22,MBA,5.7,20,80,6.2,54,9.7,78.7,68.7,On Track
Business Analytics,3,Non-binary,19,MCA,9.6,28,62,4.0,41,7.8,67.5,54.9,On Track
Electronics,1,Male,24,B.Sc,9.3,22,83,1.1,60,6.7,74.2,79.2,On Track
Civil,5,Non-binary,17,BCA,6.2,31,62,2.9,75,3.6,79.0,50.9,At Risk
Civil,8,Female,21,MBA,7.3,45,57,5.1,55,5.5,66.3,52.2,On Track
Civil,7,Non-binary,19,B.Sc,7.0,47,95,3.8,59,8.1,83.5,89.1,On Track
Information Technology,3,Female,22,B.Sc,5.8,23,89,5.3,44,6.5,63.6,80.3,On Track
Mechanical,5,Non-binary,24,B.Sc,7.6,28,98,5.4,71,7.9,83.1,84.0,On Track
Information Technology,8,Female,20,B.Sc,5.7,44,53,3.4,51,8.1,68.8,45.0,On Track
Civil,8,Non-binary,25,MBA,8.2,52,94,1.7,68,6.5,81.6,80.1,On Track
Business Analytics,5,Non-binary,18,BCA,7.2,31,78,1.7,58,6.0,73.9,67.6,On Track
Information Technology,2,Non-binary,23,B.Tech,6.3,31,94,6.1,59,5.8,83.6,89.4,On Track
Business Analytics,8,Female,19,B.Sc,5.1,45,86,6.5,58,6.8,68.7,82.4,On Track
Civil,2,Male,19,B.Tech,7.1,26,62,2.7,77,8.0,80.0,50.3,On Track
Mechanical,2,Female,21,B.Tech,6.4,18,69,4.4,40,7.3,60.8,61.3,On Track
Mechanical,7,Male,20,B.Sc,4.8,39,71,3.1,84,7.8,72.9,67.3,On Track
Electronics,4,Female,18,MCA,6.7,32,90,3.8,74,5.1,78.5,85.5,On Track
Information Technology,2,Non-binary,24,B.Sc,9.5,24,55,2.9,47,4.0,71.5,46.0,On Track
Civil,3,Male,24,B.Tech,8.3,23,51,4.7,47,3.7,73.5,45.0,At Risk
Business Analytics,7,Male,19,BCA,7.3,45,50,5.1,65,6.7,78.6,45.0,On Track
Information Technology,5,Female,21,BCA,9.0,40,73,1.5,59,5.0,67.7,62.4,On Track
Electronics,2,Male,19,B.Sc,5.3,20,92,3.4,83,5.8,85.3,84.9,On Track
Mechanical,7,Male,23,MCA,5.0,42,56,1.0,44,3.9,51.5,45.0,At Risk
Civil,8,Male,19,BCA,8.2,42,92,3.4,81,5.4,90.4,79.8,On Track
Electronics,7,Male,24,MBA,5.9,36,73,6.5,82,8.1,91.6,61.7,On Track
Electronics,4,Male,20,B.Sc,6.6,40,66,3.3,53,8.0,60.4,60.9,On Track
Information Technology,2,Female,20,MBA,6.5,30,66,4.2,69,4.1,83.6,61.9,On Track
Business Analytics,1,Female,17,B.Sc,8.1,20,81,3.3,63,3.7,73.0,67.7,On Track
Business Analytics,4,Male,24,B.Sc,8.6,35,59,3.2,77,7.7,80.3,51.2,On Track
Information Technology,4,Male,22,B.Sc,8.0,39,91,5.1,73,4.3,83.9,82.5,On Track
Business Analytics,5,Non-binary,22,B.Sc,6.1,30,57,2.7,49,7.2,65.4,45.5,On Track
Business Analytics,3,Male,21,B.Sc,5.3,34,98,5.1,69,3.9,77.8,85.7,On Track
Mechanical,5,Male,17,MBA,6.5,29,67,5.9,94,6.7,98.0,54.7,On Track
Information Technology,2,Non-binary,22,BCA,5.7,18,61,3.9,38,6.3,56.0,51.0,At Risk
Electronics,5,Non-binary,20,MBA,7.0,29,53,6.1,94,4.4,98.0,45.9,On Track
Mechanical,3,Non-binary,20,BCA,5.5,27,83,4.5,71,9.0,82.7,71.2,On Track
Mechanical,8,Non-binary,19,B.Sc,6.4,46,56,1.7,60,9.1,56.9,53.4,On Track
Computer Science,2,Male,24,BCA,9.2,17,79,1.8,59,9.6,74.7,66.2,On Track
Mechanical,1,Male,25,B.Tech,8.2,22,72,4.6,51,8.3,81.6,59.3,On Track
Mechanical,5,Non-binary,21,MBA,9.7,43,80,1.1,76,5.4,78.5,66.3,On Track
Computer Science,5,Female,22,B.Tech,5.3,37,91,0.8,81,8.9,74.9,76.9,On Track
Computer Science,5,Male,22,B.Tech,6.9,34,59,2.8,43,9.8,61.2,51.0,On Track
Electronics,8,Male,18,BCA,6.0,54,85,4.4,71,5.5,77.2,71.7,On Track
Civil,1,Male,22,MCA,8.0,24,60,1.9,68,8.3,73.7,48.9,On Track
Computer Science,2,Male,21,B.Sc,5.0,21,62,6.0,47,6.3,71.4,55.6,On Track
Mechanical,4,Female,25,BCA,7.1,29,63,2.6,82,8.9,78.9,61.5,On Track
Civil,6,Female,25,B.Sc,7.7,38,90,6.1,91,4.7,98.0,81.4,On Track
Mechanical,5,Male,21,B.Sc,6.2,30,84,6.2,88,4.5,91.0,80.2,On Track
Information Technology,6,Non-binary,18,B.Sc,5.8,38,97,5.3,84,4.7,89.7,87.9,On Track
Electronics,1,Female,23,B.Tech,6.6,12,66,1.4,80,8.0,81.2,57.8,On Track
Civil,4,Non-binary,24,BCA,9.1,36,71,4.5,51,7.2,83.0,60.0,On Track
Information Technology,7,Female,17,MCA,7.5,51,50,5.9,38,9.8,71.8,45.0,On Track
Mechanical,2,Female,18,MCA,5.4,31,76,1.6,79,7.6,79.9,63.0,At Risk
Civil,5,Female,20,B.Tech,4.9,30,73,3.2,89,9.5,83.6,60.6,On Track
Business Analytics,1,Non-binary,24,MBA,8.8,25,51,1.1,64,5.9,69.5,50.0,On Track
Business Analytics,8,Female,19,MBA,6.3,54,58,6.2,53,9.0,66.3,53.7,On Track
Business Analytics,7,Male,19,MBA,6.3,50,63,6.3,38,6.7,61.1,62.3,On Track
Mechanical,1,Male,18,B.Sc,6.0,14,86,5.5,69,5.6,87.3,80.8,On Track
Mechanical,7,Non-binary,17,B.Sc,9.0,49,87,3.5,65,9.7,86.9,82.0,On Track
Computer Science,7,Non-binary,21,MBA,5.7,38,60,1.1,38,9.1,56.5,52.4,On Track
Information Technology,7,Non-binary,21,MBA,6.2,43,61,6.0,66,9.7,82.9,54.5,On Track
Computer Science,5,Male,23,MBA,8.8,31,65,5.1,62,4.0,86.5,53.8,On Track
Computer Science,6,Non-binary,23,BCA,4.8,47,51,5.2,48,9.1,55.0,45.0,On Track
Mechanical,4,Female,20,MCA,8.6,28,90,5.9,63,6.6,88.9,85.6,On Track
Business Analytics,4,Male,21,BCA,8.6,29,79,2.7,81,7.3,91.7,76.3,On Track
Civil,2,Male,20,MBA,8.0,19,50,2.0,75,9.1,77.8,45.0,On Track
Electronics,3,Female,17,MBA,7.9,22,60,4.3,71,4.6,81.4,52.8,On Track
Civil,4,Non-binary,23,MCA,7.1,36,49,4.2,85,4.0,92.9,45.0,On Track
Mechanical,6,Male,22,B.Sc,8.5,45,49,1.3,43,9.4,54.8,49.0,On Track
Electronics,4,Male,20,BCA,6.0,30,91,4.0,82,7.1,81.3,85.4,On Track
Electronics,8,Non-binary,21,MCA,5.3,48,97,3.5,59,8.6,75.4,81.9,On Track
Computer Science,6,Non-binary,17,BCA,5.0,46,97,5.1,73,9.1,74.6,84.7,On Track
Civil,4,Non-binary,23,MCA,5.9,27,65,3.6,49,3.8,69.7,55.0,At Risk
Business Analytics,5,Female,21,MBA,8.0,39,77,5.7,51,5.6,69.9,70.0,On Track
Civil,6,Male,19,BCA,6.5,45,50,6.5,78,5.0,88.7,45.2,On Track
Mechanical,1,Male,23,BCA,5.7,22,85,1.6,71,8.2,72.3,76.9,On Track
Information Technology,4,Male,21,MBA,5.0,24,81,3.2,75,7.3,69.9,69.1,On Track
Business Analytics,4,Non-binary,19,BCA,8.2,33,61,1.6,42,5.1,54.8,54.7,At Risk
Civil,5,Female,22,B.Sc,8.5,33,55,1.0,55,5.7,61.5,46.0,On Track
Computer Science,3,Female,24,B.Tech,9.6,21,92,1.9,84,3.9,94.5,78.1,On Track
Information Technology,4,Male,24,MBA,5.9,25,71,5.4,70,9.5,86.6,61.7,On Track
Civil,6,Male,17,BCA,7.7,39,77,5.0,68,9.7,80.2,67.4,On Track
